x,y,Interpolated_Elevation
0.0,0.0,-39.13332785
1.0050251256281406,0.0,-38.143732660224586
2.0100502512562812,0.0,-37.32414087426298
3.015075376884422,0.0,-37.03023236822173
4.0201005025125625,0.0,-36.90190538795969
5.025125628140703,0.0,-36.58707468776537
6.030150753768844,0.0,-36.47254060855113
7.035175879396984,0.0,-36.88039196529631
8.040201005025125,0.0,-37.21286205982429
9.045226130653266,0.0,-36.78991230649946
10.050251256281406,0.0,-36.0084172775559
11.055276381909547,0.0,-35.2652688757423
12.060301507537687,0.0,-33.65590612688531
13.065326633165828,0.0,-30.967856613262057
14.070351758793969,0.0,-29.781333888196823
15.07537688442211,0.0,-31.166101201016087
16.08040201005025,0.0,-32.71888628028712
17.08542713567839,0.0,-32.59708905504502
18.09045226130653,0.0,-30.981697987419714
19.09547738693467,0.0,-29.12439907899674
20.100502512562812,0.0,-27.908546691807516
21.105527638190953,0.0,-27.471180606464593
22.110552763819094,0.0,-28.40521955642133
23.115577889447234,0.0,-30.535802930389497
24.120603015075375,0.0,-32.189403661098105
25.125628140703515,0.0,-32.2245082785156
26.130653266331656,0.0,-30.928809137434268
27.135678391959797,0.0,-29.164089064251073
28.140703517587937,0.0,-28.649983273984887
29.145728643216078,0.0,-30.222142313544136
30.15075376884422,0.0,-32.0125432996576
31.15577889447236,0.0,-32.71922812473421
32.1608040201005,0.0,-32.96376500892511
33.16582914572864,0.0,-32.51806176131218
34.17085427135678,0.0,-31.368029393673446
35.175879396984925,0.0,-29.85548252109944
36.18090452261306,0.0,-27.94920207936797
37.1859296482412,0.0,-25.75187847397703
38.19095477386934,0.0,-23.800455731032535
39.19597989949749,0.0,-22.555751409636404
40.201005025125625,0.0,-21.707138348990192
41.20603015075376,0.0,-21.007597021440002
42.211055276381906,0.0,-20.738238237435517
43.21608040201005,0.0,-20.627609839914037
44.22110552763819,0.0,-20.385065317915537
45.226130653266324,0.0,-19.979931820486883
46.23115577889447,0.0,-19.501422244288133
47.23618090452261,0.0,-18.94231531243803
48.24120603015075,0.0,-18.417547065897082
49.24623115577889,0.0,-18.17456197650814
50.25125628140703,0.0,-17.846201235565765
51.256281407035175,0.0,-17.483278815317796
52.26130653266331,0.0,-17.569845585056544
53.26633165829145,0.0,-18.29913765905965
54.27135678391959,0.0,-19.404536360103517
55.27638190954774,0.0,-20.400259760729128
56.281407035175874,0.0,-20.935122164033135
57.28643216080401,0.0,-21.08078976159709
58.291457286432156,0.0,-21.148872882821404
59.2964824120603,0.0,-21.297834266579063
60.30150753768844,0.0,-21.469463433812468
61.306532663316574,0.0,-21.815009006460762
62.31155778894472,0.0,-22.77310779702127
63.31658291457286,0.0,-24.32125209475487
64.321608040201,0.0,-25.63633858355452
65.32663316582914,0.0,-25.927103490684036
66.33165829145727,0.0,-25.121935830604755
67.33668341708542,0.0,-23.42322380258589
68.34170854271356,0.0,-21.600195839875244
69.3467336683417,0.0,-20.09606926009022
70.35175879396985,0.0,-18.91484543292747
71.35678391959799,0.0,-17.99781751574384
