Latitude,Longitude,Elevation,X,Y,Z
34.704773,-120.299387,454.5085449,0,99,-91.44690759
34.703773,-120.398387,185.5358276,1,0,-37.32972212
34.703773,-120.397387,192.5614471,1,1,-38.7432735
34.703773,-120.396387,196.0313721,1,2,-39.44142078
34.703773,-120.395387,200.3270111,1,3,-40.30570135
34.703773,-120.394387,197.7444153,1,4,-39.78608427
34.703773,-120.393387,205.2483673,1,5,-41.29587593
34.703773,-120.392387,206.3782654,1,6,-41.52321089
34.703773,-120.391387,206.727951,1,7,-41.59356748
34.703773,-120.390387,192.4924469,1,8,-38.72939068
34.703773,-120.389387,173.6964111,1,9,-34.94763704
34.703773,-120.388387,194.2199097,1,10,-39.07695538
34.703773,-120.387387,166.7828979,1,11,-33.5566414
34.703773,-120.386387,175.6384888,1,12,-35.33838215
34.703773,-120.385387,219.2601929,1,13,-44.1150487
34.703773,-120.384387,246.3139648,1,14,-49.55825503
34.703773,-120.383387,249.0043335,1,15,-50.09955595
34.703773,-120.382387,259.9342346,1,16,-52.29864696
34.703773,-120.381387,229.6932526,1,17,-46.21417546
34.703773,-120.380387,191.1101685,1,18,-38.4512769
34.703773,-120.379387,179.454895,1,19,-36.10624131
34.703773,-120.378387,172.328186,1,20,-34.67235078
34.703773,-120.377387,168.7828979,1,21,-33.95904047
34.703773,-120.376387,188.3323364,1,22,-37.89237839
34.703773,-120.375387,192.976181,1,23,-38.82671776
34.703773,-120.374387,194.2801971,1,24,-39.0890852
34.703773,-120.373387,194.9960632,1,25,-39.23311712
34.703773,-120.372387,199.6186371,1,26,-40.16317683
34.703773,-120.371387,207.8068848,1,27,-41.81064845
34.703773,-120.370387,218.7734375,1,28,-44.01711375
34.703773,-120.369387,197.9541779,1,29,-39.8282884
34.703773,-120.368387,213.9745331,1,30,-43.05157642
34.703773,-120.367387,231.5923157,1,31,-46.59626607
34.703773,-120.366387,218.0455475,1,32,-43.87066262
34.703773,-120.365387,218.297287,1,33,-43.92131249
34.703773,-120.364387,200.8618164,1,34,-40.41330393
34.703773,-120.363387,230.8046875,1,35,-46.43779565
34.703773,-120.362387,227.9125977,1,36,-45.85590852
34.703773,-120.361387,217.7148743,1,37,-43.80413132
34.703773,-120.360387,216.3509674,1,38,-43.52971389
